reftime,day,timeofday,weekday,activityScore_hour01,activityScore_hour02,activityScore_hour03,activityScore_hour04,activityScore_hour05,activityScore_hour06,activityScore_hour07,activityScore_hour08,activityScore_hour09,activityScore_hour10,activityScore_hour11,activityScore_hour12,activityScore_hour13,activityScore_hour14,activityScore_hour15,activityScore_hour16,activityScore_hour17,activityScore_hour18,activityScore_hour19,activityScore_hour20,activityScore_hour21,activityScore_hour22,activityScore_hour23,activityScore_hour24
1731888000000,21,00:00:00,3,,,,,,,,,1,2,1,1,,,1,,1,1,,,1,1,1,1
1731974400000,22,00:00:00,4,1,1,1,1,1,,1,,,1,1,,,1,,1,1,,1,1,1,,,
1732060800000,23,00:00:00,5,,,,,,,,,,,1,1,,,1,,,,,,,,,1
1732147200000,24,00:00:00,6,,,,,,,,,,1,1,1,1,,,,,3,,,,,,1
1732233600000,25,00:00:00,7,1,1,1,1,1,1,,,1,1,1,1,3,2,1,1,,,1,1,,,,1
1732320000000,26,00:00:00,1,1,1,1,1,1,3,,,,,1,,1,1,1,2,1,,,,,,,
1732406400000,27,00:00:00,2,,1,1,1,1,1,1,,,1,,,1,1,,,,,,,1,,,
1732492800000,28,00:00:00,3,,1,1,,,,,,,,,,,1,,,,,1,,,,1,
1732579200000,29,00:00:00,4,,1,1,1,1,1,,,,,1,1,3,,1,1,,,,,,,3,1
1732665600000,30,00:00:00,5,,1,,1,1,1,1,1,1,1,1,3,,,,,1,,,1,1,1,,1
1732752000000,31,00:00:00,6,,,,,,,,,,,,1,1,1,1,3,,,,,,,,
1732838400000,32,00:00:00,7,,,,,,,,,1,,1,,1,1,1,,,1,1,1,1,1,,
1732924800000,33,00:00:00,1,,,,,,,1,1,1,,,,1,1,,,,1,,,,1,,1
1733011200000,34,00:00:00,2,,,,,,,1,1,1,1,,1,1,1,,,,,,1,1,1,,
1733097600000,35,00:00:00,3,,,,,,,,,1,1,1,1,2,1,1,2,1,,,,,1,1,
1733184000000,36,00:00:00,4,,,,,,,,,1,,,1,1,1,1,1,1,2,,,1,1,1,1
1733270400000,37,00:00:00,5,2,1,1,1,1,1,,,2,,1,1,,,,,,,,3,3,1,1,1
1733356800000,38,00:00:00,6,1,1,,1,1,1,,1,,,1,,,,,,,,,1,,,1,1
1733443200000,39,00:00:00,7,1,1,1,1,1,1,,,,,1,,,,1,1,,1,,,,1,1,1
1733529600000,40,00:00:00,1,,1,1,1,1,1,,,,4,1,1,,,2,3,1,2,,,1,,,
1733616000000,41,00:00:00,2,1,1,1,1,1,1,1,1,1,,1,,,,1,,,1,,,1,1,1,1
1733702400000,42,00:00:00,3,,,,,,,1,1,1,1,1,1,,,1,1,,1,1,1,1,,,
1733788800000,43,00:00:00,4,,,1,1,1,1,,,,,1,1,1,,1,1,1,,,1,1,,1,1
1733875200000,44,00:00:00,5,1,1,1,1,1,1,,,,1,1,,,,,,1,,,,,,,
1733961600000,45,00:00:00,6,1,,,,1,1,,,1,,1,1,,,,,,1,,2,1,,,
1734048000000,46,00:00:00,7,,,,,,,,,1,1,1,1,,2,1,1,1,,,,1,,1,1
1734134400000,47,00:00:00,1,,1,1,1,1,1,,,1,,,,2,1,1,1,,,,1,3,,,
1734220800000,48,00:00:00,2,1,,1,,,1,,,,1,1,1,,1,,2,1,1,1,,,,,
1734307200000,49,00:00:00,3,,,,1,,1,1,1,1,,,1,1,,,,1,1,1,1,,,,1
1734393600000,50,00:00:00,4,1,,,1,,,1,,1,1,1,1,1,1,,,1,1,1,1,1,1,,1
1734480000000,51,00:00:00,5,1,1,1,1,1,1,1,,,,1,2,,,,,1,1,1,1,1,,4,1
1734566400000,52,00:00:00,6,,,,,,,,,1,,1,1,1,1,1,1,1,,1,,,,,1
1734652800000,53,00:00:00,7,1,1,1,1,1,1,,,,,1,3,,1,,,,,,1,,1,1,4
1734739200000,54,00:00:00,1,1,1,,,,,,,,,1,1,1,1,1,1,,,,,,,,1
1734825600000,55,00:00:00,2,,,1,,1,1,1,,,,,,,1,,1,1,,,,,,,
1734912000000,56,00:00:00,3,,,,,,,,,,1,1,1,1,1,,,,,,,,,,
1734998400000,57,00:00:00,4,,,1,,1,1,1,,,1,2,1,1,2,,,2,1,,,1,1,1,1
1735084800000,58,00:00:00,5,1,1,,,1,1,,,,,1,1,1,,,,,,1,,1,,,
1735171200000,59,00:00:00,6,,,,,,,,,,1,1,,,1,1,,,,,,1,1,1,
1735257600000,60,00:00:00,7,,,,,,,,,,,,1,1,,1,1,,,,,1,1,2,1
1735344000000,61,00:00:00,1,,,1,,1,,,,,,1,1,,1,1,1,1,,,1,,,,1
1735430400000,62,00:00:00,2,1,1,,1,1,1,1,,1,1,,1,,,,,3,1,2,1,1,1,,
1735516800000,63,00:00:00,3,,,,,,,,,1,,1,1,,1,1,,,,,,,,,
1735603200000,64,00:00:00,4,1,1,1,1,1,1,1,2,,,1,2,,,,,,,,,,,,
